id_inquilino,horario,bioritmo,nivel_educativo,leer,animacion,cine,mascotas,cocinar,deporte,dieta,fumador,visitas,orden,musica_tipo,musica_alta,plan_perfecto,instrumento
129,2,0,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1
130,2,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,0
131,0,0,0,1,0,1,1,0,0,0,0,0,0,2,1,0,0
132,0,0,2,1,0,0,0,0,1,0,0,0,0,2,0,0,0
133,2,1,2,0,0,0,0,1,1,1,1,1,0,3,1,1,1
134,0,0,2,1,0,1,0,0,1,1,0,0,0,0,0,0,0
135,2,0,0,1,0,1,1,1,0,0,1,0,0,2,0,0,0
136,2,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0
137,2,1,2,0,1,0,1,1,1,0,1,1,1,3,1,1,1
138,2,1,2,1,1,0,1,1,0,1,1,0,1,3,0,1,0
139,0,0,2,1,0,1,0,1,0,0,0,1,1,0,1,0,0
140,2,1,2,1,1,1,1,1,1,1,1,1,0,3,1,1,1
141,0,0,0,1,0,1,0,1,0,0,1,0,0,2,0,0,0
142,2,1,0,1,0,0,0,0,1,0,0,0,0,2,1,0,0
143,2,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1
144,2,1,2,0,1,0,1,1,1,1,1,1,1,3,1,1,1
145,2,0,2,0,1,0,1,1,1,0,0,1,0,3,1,1,1
146,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0
147,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
148,2,1,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0
149,0,0,0,1,1,1,1,0,0,0,0,0,1,2,0,0,0
150,2,1,2,0,1,0,0,1,0,1,1,1,0,3,1,1,1
151,0,1,1,0,1,1,1,1,0,1,1,0,0,1,1,1,0
152,0,0,0,1,0,1,0,1,0,1,0,0,0,2,0,1,0
153,2,1,2,0,1,0,0,1,0,0,0,1,1,1,1,0,1
154,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0
155,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
156,0,0,1,1,0,1,0,1,1,0,0,0,0,2,0,0,0
157,2,0,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1
158,2,0,2,0,1,1,1,1,1,1,0,0,1,3,0,0,1
159,2,1,2,0,1,1,0,1,1,1,1,1,1,3,1,1,0
160,0,0,2,1,0,1,0,0,1,0,0,1,0,0,0,0,0
161,0,1,0,1,0,1,0,0,0,0,0,1,1,2,1,0,0
162,0,0,2,1,0,0,0,0,0,0,0,0,0,3,1,0,0
163,0,0,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0
164,2,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0
165,2,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1
166,2,1,2,0,1,0,0,1,1,1,1,1,1,3,1,0,0
167,0,1,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1
168,2,1,2,0,1,0,0,1,1,1,1,1,1,3,1,0,1
169,2,0,1,0,0,1,0,1,0,0,0,0,0,2,0,0,0
170,2,0,0,1,0,1,1,0,0,1,1,1,0,2,0,0,0
171,2,0,0,1,0,1,0,0,0,0,1,1,0,2,0,0,0
172,2,1,1,0,1,0,1,0,1,1,1,1,0,1,1,1,0
173,2,1,2,0,1,0,1,1,1,1,0,1,0,3,0,1,1
174,2,0,1,0,1,0,1,1,0,0,1,1,1,1,1,1,1
175,2,1,1,0,1,0,1,1,1,1,1,1,1,3,1,1,0
176,0,0,0,1,1,1,0,0,1,0,1,1,0,3,0,0,1
177,2,1,0,0,0,1,1,1,1,1,0,1,1,3,1,1,1
178,2,1,0,1,0,1,0,0,0,1,1,1,0,2,0,0,0
179,0,0,1,0,1,0,1,1,1,0,1,0,0,1,1,1,1
180,2,1,2,0,1,1,1,1,1,1,1,1,1,3,0,1,0
181,2,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1
182,2,0,0,1,1,1,1,0,0,0,0,0,1,0,1,1,0
183,0,1,2,0,0,0,1,1,0,1,1,1,1,3,1,1,1
184,2,1,1,0,1,0,1,1,1,0,1,1,0,1,1,1,1
185,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1
186,0,1,1,1,0,1,0,0,0,0,0,0,0,2,0,0,0
187,2,0,2,1,1,0,1,1,1,1,1,1,1,3,1,1,1
188,0,0,0,1,0,0,0,0,0,0,1,1,0,2,0,1,0
189,0,1,2,0,1,0,1,1,1,1,0,1,1,3,1,0,1
190,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0
191,0,0,2,1,0,1,0,1,0,0,1,0,0,0,0,0,0
192,0,0,1,1,0,1,0,1,0,0,0,0,0,2,0,0,0
193,2,1,2,0,1,0,1,1,1,0,1,1,0,0,1,1,1
194,2,1,1,0,0,1,1,1,1,0,0,1,0,1,1,1,1
195,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0
196,2,1,2,0,1,0,1,1,1,1,1,1,1,3,1,1,0
197,2,1,2,0,1,1,1,1,1,1,1,1,1,3,1,1,1
198,0,1,1,0,1,1,1,1,0,0,1,1,1,3,1,1,1
199,2,1,2,1,1,0,0,1,0,1,1,1,1,3,0,1,1
200,0,1,2,0,1,1,1,1,1,1,1,1,1,3,1,1,1
201,0,0,2,1,0,1,0,0,1,0,1,0,1,0,1,0,0
202,2,0,0,0,1,0,0,0,1,1,1,1,1,3,1,1,1
203,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0
204,0,1,2,0,1,0,0,1,1,1,0,1,1,0,1,1,1
205,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0
206,0,0,2,1,0,1,0,0,0,1,0,0,1,2,1,0,0
207,0,1,0,1,0,1,0,1,1,1,0,0,0,2,0,0,0
208,2,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0
209,2,1,1,0,0,1,1,0,1,0,0,0,0,2,0,0,0
210,2,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1
211,0,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1
212,0,0,2,1,0,1,0,0,0,0,0,0,0,2,0,0,0
213,0,1,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0
214,2,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1
215,2,1,2,0,1,0,1,1,1,0,1,1,1,3,1,0,1
216,2,1,1,0,1,0,1,1,1,0,1,1,1,1,0,0,1
217,0,0,2,1,0,0,1,1,0,0,1,1,1,0,1,1,0
218,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
219,2,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1
220,0,0,0,1,1,1,0,0,1,0,0,1,0,2,1,0,0
221,2,1,2,0,1,0,1,1,1,1,1,1,1,3,1,1,1
222,2,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1
223,0,0,0,1,0,0,0,1,1,0,0,0,0,2,0,0,0
224,2,1,2,1,1,1,1,1,1,0,1,1,0,3,1,1,1
225,2,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1
226,0,1,2,1,0,0,0,0,0,1,0,0,0,2,0,1,1
227,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
228,0,1,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0
229,2,1,2,1,1,0,1,1,1,0,1,1,1,0,1,1,1
230,0,0,0,1,0,1,0,0,0,1,0,0,0,2,1,0,0
231,2,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1
232,2,1,1,0,1,0,1,1,1,0,1,0,1,1,1,1,1
233,2,1,2,0,1,0,1,1,1,1,1,1,0,1,1,1,0
234,0,0,2,0,0,0,1,0,1,1,0,0,0,1,0,0,0
235,2,1,2,0,1,0,1,1,0,1,1,1,1,1,0,1,1
236,2,1,2,0,1,0,1,1,0,1,1,0,0,3,1,1,1
237,2,0,2,0,1,1,1,0,1,0,1,1,1,3,1,1,1
238,0,0,2,1,0,1,0,1,0,0,0,0,1,0,0,0,0
239,2,1,1,1,1,1,1,1,0,0,0,1,0,0,1,1,1
240,0,0,0,1,0,1,1,0,0,0,0,0,0,2,0,1,1
241,2,1,2,0,1,0,1,1,1,1,1,1,0,3,1,1,1
242,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
243,2,0,1,0,0,0,1,1,0,1,0,1,1,1,1,1,1
244,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,1
245,2,1,2,0,1,0,1,1,0,1,1,1,1,3,1,1,1
246,0,0,0,1,1,1,0,0,0,0,0,0,0,2,0,0,0
247,0,0,2,1,0,1,0,0,1,1,0,0,0,2,0,1,0
248,0,0,1,1,0,1,1,0,1,0,0,1,0,2,0,0,1
249,2,1,1,0,0,0,1,0,0,1,1,1,1,0,1,1,1
250,2,1,2,1,1,0,1,1,1,1,1,1,1,3,0,1,1
251,2,1,1,0,1,1,1,1,0,1,0,1,1,1,0,1,1
252,2,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1
253,2,0,2,0,0,0,1,1,0,1,1,1,1,3,1,1,1
254,2,1,1,0,1,0,1,1,1,0,1,1,1,1,0,0,1
255,0,0,2,1,0,1,0,0,0,1,0,1,0,0,1,0,1
256,2,0,2,0,1,0,1,1,1,1,1,1,1,1,0,0,1
257,0,0,1,0,1,0,0,1,1,1,0,1,0,1,1,1,1
258,0,1,2,0,1,0,1,1,1,1,1,0,0,3,1,0,1
259,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,1,1
260,0,0,2,1,0,1,0,1,0,1,0,0,0,0,1,0,0
261,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,1,1
262,2,0,1,0,1,0,1,1,1,0,1,1,0,1,1,1,0
263,2,1,1,0,1,0,1,1,1,0,1,1,1,1,0,1,1
264,2,1,2,0,1,1,0,1,1,1,1,0,1,2,1,0,1
265,0,0,2,1,0,1,1,0,1,0,0,1,0,0,0,0,0
266,2,1,2,1,1,0,1,0,1,1,1,1,1,3,1,0,1
267,2,1,2,1,1,0,1,1,0,1,1,0,1,3,1,0,1
268,2,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1
269,0,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1
270,0,1,2,0,0,1,0,0,0,0,0,1,0,0,1,0,0
271,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0
272,2,0,2,0,1,0,1,1,1,1,1,1,1,0,1,1,0
273,2,1,1,0,0,0,0,1,1,1,1,0,0,3,1,1,0
274,2,0,1,0,1,0,1,1,1,0,1,0,1,1,1,1,1
275,0,1,2,0,1,0,1,1,1,1,1,1,1,3,0,1,1
276,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,1,0
277,2,1,2,0,1,1,1,1,1,1,1,1,1,3,1,1,1
278,2,1,2,0,1,0,0,1,1,1,1,0,1,1,1,1,0
279,2,1,1,0,1,0,1,1,1,1,1,1,0,2,1,1,0
280,2,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1
281,0,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1
282,0,0,2,0,1,0,1,1,1,1,1,1,0,1,1,1,1
283,0,1,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0
284,2,1,1,1,0,0,1,1,1,1,0,1,0,1,0,1,1
285,2,1,1,0,1,0,1,1,0,1,0,1,1,1,1,1,1
286,2,1,0,0,1,1,1,1,1,1,1,0,0,1,1,0,1
287,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,1
288,2,0,0,1,0,1,0,0,0,1,1,0,0,1,1,1,1
289,2,0,2,0,0,0,1,1,1,1,1,1,1,3,1,0,1
290,2,0,1,0,1,1,0,1,1,1,1,1,1,1,0,1,0
291,2,1,2,0,0,0,1,1,0,0,1,1,1,2,1,1,1
292,0,1,1,1,1,0,0,1,1,1,0,1,1,1,0,1,1
293,0,0,0,1,1,0,0,1,1,1,0,0,0,2,0,0,0
294,2,1,2,1,1,0,1,1,0,1,1,1,1,1,0,1,1
295,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,1
296,0,0,0,1,0,1,0,0,0,0,0,0,1,2,0,0,0
297,0,0,0,1,1,1,1,0,0,0,0,0,0,3,1,0,0
298,0,1,2,1,0,1,0,0,1,0,1,0,0,0,0,0,0
299,2,1,0,0,0,1,1,0,1,1,0,1,1,1,1,1,1
300,2,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0
301,2,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1
302,2,1,1,0,1,0,0,0,1,1,1,1,0,1,1,1,1
303,2,1,1,0,1,0,1,1,1,1,0,1,0,1,1,1,1
304,2,1,1,0,1,0,0,1,1,1,0,1,0,1,1,1,1
305,0,0,2,1,0,1,0,0,0,0,0,0,1,2,0,0,1
306,0,1,1,1,0,1,0,1,1,1,0,0,0,2,0,0,0
307,2,0,0,1,1,1,1,0,0,0,0,1,0,2,0,0,0
308,0,0,0,1,0,1,1,0,0,0,0,0,0,2,0,1,0
309,2,1,2,0,1,0,1,1,1,1,1,1,0,3,1,1,1
310,2,1,2,0,1,0,1,1,1,1,0,1,1,3,1,1,1
311,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0
312,0,0,2,1,0,1,1,1,0,1,0,0,0,0,1,0,0
313,0,0,1,1,0,1,1,0,0,1,0,1,1,1,0,0,0
314,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,1,0
315,2,1,2,0,1,0,1,1,1,1,1,1,0,3,1,1,1
316,2,0,0,0,0,0,0,1,1,1,1,1,1,3,1,1,1
317,0,0,0,1,0,1,1,1,0,0,0,0,0,2,0,0,0
318,2,1,2,0,1,1,1,1,1,1,1,1,1,2,1,1,1
319,2,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1
320,0,0,2,0,0,1,0,1,0,1,1,1,0,0,1,0,0
321,0,0,2,1,0,1,1,0,0,1,0,1,0,0,1,0,0
322,0,0,2,1,0,1,0,1,0,0,0,0,0,2,1,0,0
323,0,1,0,1,0,1,0,1,0,1,0,0,0,2,0,0,0
324,2,1,2,0,0,0,0,1,1,1,0,1,1,3,1,1,1
325,2,1,1,1,1,0,1,1,0,0,1,1,1,1,1,0,1
326,0,1,1,0,1,0,1,0,1,1,1,1,1,3,1,0,1
327,0,0,2,0,0,1,0,0,0,1,0,0,0,0,1,1,0
328,0,0,2,1,0,1,0,0,1,0,0,0,1,0,0,0,0
329,2,0,2,1,1,0,1,1,1,1,1,0,1,3,1,1,1
330,2,0,2,1,0,1,0,0,0,0,0,0,0,1,1,0,0
331,2,1,2,1,0,0,1,1,1,1,0,1,1,3,1,1,1
332,0,1,0,0,0,1,0,0,0,0,0,0,1,2,1,1,1
333,0,1,2,1,0,1,0,0,1,0,0,0,0,0,1,0,0
334,0,1,0,1,0,1,0,0,0,1,1,1,1,2,0,0,0
335,0,0,2,1,0,1,0,1,0,1,0,1,0,2,0,0,0
336,0,1,2,1,1,0,1,1,1,1,1,0,1,2,1,1,1
337,2,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0
338,2,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1
339,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
340,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1
341,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
342,2,0,2,0,1,1,1,1,1,1,1,1,1,3,1,1,1
343,2,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1
344,2,1,1,0,0,0,1,1,1,0,1,1,1,0,1,1,1
345,2,1,2,0,1,0,1,1,1,1,1,1,1,1,1,1,1
346,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,1
347,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0
348,2,1,0,1,1,0,0,1,0,1,0,1,1,3,0,1,0
349,2,0,0,1,0,1,0,0,0,0,0,0,1,2,0,0,0
350,0,0,2,1,1,1,0,1,0,0,0,1,1,0,0,1,0
351,0,1,2,0,0,0,1,1,1,1,1,1,0,2,0,1,1
352,2,0,1,1,1,0,1,1,1,0,0,1,0,1,1,1,1
353,0,0,0,1,0,1,1,0,0,1,1,0,0,2,1,1,0
354,2,1,1,0,1,0,1,1,1,1,0,0,1,3,1,1,1
355,2,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
356,2,1,2,0,1,0,1,1,1,1,0,1,0,3,1,1,1
357,2,0,1,0,0,0,1,1,1,1,1,1,1,1,0,1,1
358,0,0,0,1,0,1,0,0,0,0,0,1,0,2,0,1,0
359,2,1,2,1,1,0,1,1,0,1,1,0,0,3,1,1,1
360,0,0,2,1,0,1,1,1,0,0,1,0,1,0,0,0,0
361,2,1,2,0,1,0,1,1,1,1,1,1,1,3,1,1,1
362,0,1,0,1,0,1,1,1,0,0,0,0,0,2,1,0,0
363,2,0,2,1,0,1,0,0,0,1,0,0,0,2,0,0,0
364,0,0,0,1,0,1,0,0,1,0,1,0,0,2,0,0,0
365,2,0,2,0,1,0,1,1,0,1,1,1,0,3,1,0,1
366,0,0,2,1,1,0,0,0,0,0,0,1,0,0,1,0,0
367,0,1,2,0,1,1,1,1,0,1,1,1,0,2,1,1,1
368,0,0,2,1,0,1,1,0,0,1,0,0,0,3,0,1,1
369,0,0,1,0,0,1,1,1,1,1,1,1,1,2,1,1,1
370,2,1,2,0,1,0,1,1,1,1,1,1,1,3,0,1,1
371,0,1,2,1,0,1,0,0,1,0,1,0,0,0,0,0,0
372,0,1,2,0,1,0,1,0,1,1,1,1,1,2,0,1,1
373,0,0,0,1,0,1,0,0,0,0,0,0,0,2,1,0,0
374,0,1,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0
375,2,0,0,1,0,1,0,0,0,0,0,0,0,2,0,1,1
376,2,1,2,0,1,0,0,1,1,1,1,1,0,3,1,1,1
377,0,0,2,1,0,1,0,1,0,0,0,0,1,0,0,0,0
378,2,1,1,0,1,0,1,1,1,0,1,1,1,1,1,0,1
379,0,0,0,1,0,1,0,1,0,0,0,0,1,2,0,1,0
380,0,0,0,1,0,1,1,1,1,0,0,0,0,2,1,0,0
381,2,1,2,0,1,0,1,1,1,1,1,1,0,1,0,1,1
382,2,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0
383,2,0,1,0,0,0,0,1,0,1,1,1,1,3,1,1,1
